feature,importance,importance_pct,cumulative_pct
age30_PER,0.11240359644340177,11.240359644340177,11.240359644340177
age30_WS_48,0.08526327734066463,8.526327734066463,19.76668737840664
age30_MP,0.07792959250456692,7.7929592504566925,27.559646628863334
age30_BPM,0.0654533757726308,6.54533757726308,34.10498420612642
adaptation_velocity_USG,0.04644043368433549,4.6440433684335485,38.74902757455997
delta_ASTpct_31,0.04281893913869212,4.2818939138692125,43.03092148842918
delta_USGpct_33,0.04239877155153556,4.239877155153557,47.27079864358274
age30_TSpct,0.03838657222600534,3.838657222600534,51.10945586618327
delta_3PAr_32,0.03422328675694753,3.4223286756947533,54.53178454187802
total_USGpct_change,0.03351280141752758,3.3512801417527576,57.88306468363078
career_avg_BPM,0.03145198698807119,3.145198698807119,61.0282633824379
delta_ASTpct_32,0.027009263436967135,2.7009263436967137,63.729189726134614
delta_MP_31,0.021994628751810998,2.1994628751810996,65.92865260131572
career_high_USG,0.021926893473469152,2.1926893473469153,68.12134194866263
age30_USGpct,0.021649426008757664,2.1649426008757664,70.2862845495384
delta_PER_33,0.019384967206292493,1.9384967206292494,72.22478127016764
delta_3PAr_31,0.019054905296703062,1.9054905296703062,74.13027179983794
delta_WS_48_32,0.018726013994272497,1.8726013994272497,76.0028731992652
delta_USGpct_32,0.01710176141272894,1.7101761412728942,77.71304934053809
total_TSpct_change,0.01709629071130674,1.7096290711306739,79.42267841166877
delta_MP_33,0.015451572448396149,1.545157244839615,80.96783565650838
age30_ASTpct,0.015404143350300123,1.5404143350300123,82.50824999153839
delta_BPM_32,0.014816600979886416,1.4816600979886416,83.98991008952703
delta_TSpct_33,0.014753079435577415,1.4753079435577414,85.46521803308477
delta_PER_31,0.013625008335246493,1.3625008335246493,86.82771886660942
delta_TSpct_32,0.013102031080545536,1.3102031080545535,88.13792197466397
delta_TSpct_31,0.012138328911185697,1.2138328911185696,89.35175486578254
delta_PER_32,0.011509539457816579,1.150953945781658,90.50270881156419
delta_WS_48_33,0.01099011277068519,1.099011277068519,91.6017200886327
age30_3PAr,0.00965349289041341,0.9653492890413409,92.56706937767404
delta_BPM_31,0.009503873437771485,0.9503873437771485,93.5174567214512
delta_BPM_33,0.009353382364882038,0.9353382364882038,94.4527949579394
seasons_at_30,0.008755863443586167,0.8755863443586167,95.32838130229803
position_code,0.007987658222600532,0.7987658222600532,96.12714712455808
total_ASTpct_change,0.007944101439674094,0.7944101439674094,96.92155726852549
delta_MP_32,0.006581412777963605,0.6581412777963604,97.57969854632185
delta_3PAr_33,0.00629007105759874,0.6290071057598741,98.20870565208172
delta_WS_48_31,0.0054470784891796995,0.54470784891797,98.75341350099968
delta_ASTpct_33,0.00425929615386701,0.42592961538670104,99.17934311638639
adaptation_velocity_3PAr,0.004228436783965574,0.4228436783965574,99.60218679478295
delta_USGpct_31,0.0027980330388125453,0.2798033038812545,99.8819900986642
total_3PAr_change,0.0011800990133579972,0.11800990133579972,100.0
